Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
CaseGuild,CaseGuild is an AI-powered platform designed to empower legal teams by providing advanced evidence reasoning capabilities.,CaseGuild,"CaseGuild helps legal teams find key evidence faster and strengthens their cases by analyzing massive document collections. The platform is purpose-built for attorneys handling complex cases, delivering actionable insights in real-time.","Litigation, Disputes & Investigations",,Accelerates the process of finding and analyzing key evidence in legal cases.,Corporate legal,Advanced,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,SOC 2 Type 2 Certified,,,,https://www.caseguild.com,
Casey,Casey empowers legal teams to create AI solutions using internal knowledge—no coding required.,Custom Legal AI Products,Casey enables legal teams to build custom AI products using their internal knowledge — all in minutes with no engineering team required.,AI Legal Assistants & Productivity Tools,,,Legal Operations Professionals,Experimental / early stage,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.casey.legal/,
Chamelio,"Chamelio builds intelligent technology for in-house legal teams, adapting to their unique industry context and strategic priorities.",Chamelio,"Chamelio is a legal intelligence platform that helps legal teams streamline their workflows and improve efficiency. It automates the extraction of key terms and obligations from legal documents, enabling teams to focus on strategic initiatives.",Contracting & Document Automation,,"Chamelio helps legal teams reduce the time spent on contract review and management, allowing them to operate more efficiently.",In-House Legal Teams,Quick Win,,Yes,,,Custom Pricing,Yes,,,Cloud (SaaS),,,,,,,SOC 2 Type II,,,,https://chamelio.ai/,
Clio,"Clio is the #1 choice of legal professionals for managing clients, cases, billing, and more.",Clio Duo,"Clio Duo is an Intelligent Legal Work Platform that automates tasks and research, putting clients at the center of legal practice management. It connects matters with trusted legal knowledge to enhance decision-making and streamline operations.",Legal Operations & Analytics,,"Clio Duo helps legal professionals manage their practice more efficiently by unifying client intake, billing, and case management into one platform.",Corporate legal,Advanced,Global,Yes,context-aware AI,,Subscription (SaaS),Yes,,,Cloud (SaaS),,,,,,ISO 27001,SOC 2 Type 2,,,,https://www.clio.com/,
Covenant,"Covenant Technology Services provides long-term, people-first technology support and management for small- and medium-sized companies.",,,,,,small- and medium-sized companies,,,No,,,,,,,,,,,,,,,,,,https://www.covenant.com/,
Crane Patents,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cranepatents.com/,
DiliTrust,"DiliTrust offers an all-in-one suite for corporate and legal activities, designed to accelerate digital transformation with integrated solutions.",DiliTrust Governance Suite,"The DiliTrust Governance Suite is an AI-native platform that simplifies and connects every dimension of legal work, empowering corporate legal teams to move faster and reduce risk. It features five integrated modules for contract management, matter management, board portal, and secure document sharing.","Compliance, Risk & Governance",,Streamlining legal operations and enhancing collaboration within corporate legal teams.,In-house legal professionals,Quick Win,64 countries,Yes,Machine Learning algorithms,,Subscription (SaaS),Yes,,,Cloud (SaaS),,Multilingual support,,,,ISO 27001,,,,,https://www.dilitrust.com/,
Dimension AI,"Dimension AI provides a platform that leverages generative AI for precedent-based workflows, focusing on the extraction and analysis of data from public filings.",,"The platform automates the drafting and review of SEC documents and annual reports, saving significant time in the process. It ensures zero hallucination through a fine-tuned precedent-based approach.","Compliance, Risk & Governance",,Streamlining and automating the drafting and review process for capital markets and registered funds.,Corporate legal,Advanced,,Yes,ML analysis,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.dimensionai.com/,
DocDraft,"DocDraft offers affordable legal services through a subscription model, providing access to AI-powered legal document automation and expert attorney connections.",DocDraft,DocDraft allows users to draft attorney-grade documents with the help of AI and receive expert legal guidance. The platform is designed to streamline the legal document creation process while ensuring professional oversight.,Contracting & Document Automation,,Overpaying for legal help and the complexity of drafting legal documents.,Individuals seeking legal assistance,Quick Win,,Yes,,,Subscription (SaaS),,,,Cloud (SaaS),,,,,,,,<$10K,,,https://www.docdraft.ai/,
DraftCheck,"DraftCheck provides workflow tools for business document management, focusing on drafting and redlining professional documents with precision and control.",DraftCheck,"DraftCheck uses Human-Guided Agentics to assist professionals in Legal, HR, Compliance, and Operations in drafting, revising, and finalizing documents. It integrates with Microsoft Word and Google Docs to enhance document accuracy and efficiency.",Contracting & Document Automation,,"Drafting and reviewing complex documents with unmatched clarity, consistency, and accuracy.","Legal, HR, Compliance, and Operations teams",Quick Win,,Yes,Human-Guided Agentics,,Subscription (SaaS),Yes,,,Cloud (SaaS),,,,,,,,$10K–$50K,,,https://www.draftcheck.com,
DraftLex,DraftLex provides AI-driven solutions for legal professionals to streamline contract creation.,Draftlex,Draftlex allows users to create a variety of contract templates quickly and efficiently using AI technology. It is designed to save time and enhance the drafting process for legal professionals.,Contracting & Document Automation,,Reduces the time and effort required to draft contracts.,Legal Professionals,Quick Win,,Yes,,,,,,,Cloud (SaaS),,"English, Chinese, Hindi, Spanish, French, Bengali, Portuguese, Russian, Indonesian, German, Japanese, Marathi, Vietnamese, Telugu, Turkish, Punjabi, Swahili, Filipino, Tamil, Korean, Thai, Italian, Gujarati, Amharic, Kannada, Malay, Burmese, Ukrainian, Malayalam, Polish, Romanian, Nepali, Sinhala, Khmer, Uzbek, Azerbaijani, Czech, Greek, Hungarian, Kazakh, Dutch, Swedish, Serbian, Croatian, Armenian, Georgian, Lao, Danish, Finnish, Slovak, Bulgarian, Norwegian, Bosnian, Lithuanian, Albanian, Mongolian, Slovenian, Macedonian, Afrikaans, Latvian, Estonian, Catalan, Welsh, Galician, Irish, Maltese, Icelandic, Basque",,,,,,,,,https://draftlex.com/,
Edge,"Edge provides advanced AI-powered litigation technology designed for modern law firms, connecting every phase of a case from complaint to verdict.",Trial Edge,Trial Edge is an enterprise legal technology platform that offers comprehensive case management and AI-powered workflows tailored for high-stakes litigation. It leverages advanced AI tools to analyze case data and provide actionable recommendations.,"Litigation, Disputes & Investigations",,Optimizing outcomes in high-stakes litigation through AI-powered strategy and execution.,Corporate legal,Advanced,,Yes,,,One-time License,,,,Custom,,,,,,,GDPR,$10K–$50K,,,https://www.trialedge.ai/,
EisphorIA,"EisphorIA provides a research tool that streamlines the process of analyzing textual data sets, enhancing the efficiency of legal investigations.",EisphorIA,EisphorIA allows users to conduct complex legal research efficiently through its contextual search functionality. It centralizes information and provides relevance indicators to help lawyers quickly identify critical documents.,Legal Research & Knowledge,,EisphorIA addresses the challenge of efficiently finding relevant legal information from both public and confidential data sources.,Corporate legal,Quick Win,,No,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.eisphoria.com,
Emma Legal,"Emma Legal is an AI-platform that automates the legal due diligence process for (corporate) law firms and investors, who are specialized in M&A transactions.",Emma Legal,"Emma Legal is an AI-powered platform that automates complex M&A legal due diligence. By analyzing contracts and flagging clause-level risks, it delivers structured, shareable reports that cut due diligence time by up to 50%.","Compliance, Risk & Governance",,Automates legal due diligence by identifying missing or incomplete files and highlighting clause-level legal risks.,"M&A professionals, including law firms, private equity and venture capital investors, and in-house legal teams.",Advanced,,Yes,"OpenAI, Gemini, and Perplexity",,,Yes,,,Cloud (SaaS),,,,,,ISO 27001,"SOC 2 Type II, GDPR",,,,https://www.emma.legal/,
Emmi,"Emmi provides AI solutions specifically for the legal sector, focusing on automating conflict checks and compliance data entry.",Emmi Engine,"The Emmi Engine acts as a secure, invisible layer that pre-fills compliance data, replacing manual research and data entry with automated reasoning. It aims to eliminate administrative delays in legal processes, enhancing speed and efficiency.","Compliance, Risk & Governance",,"Eliminates the lengthy administrative queue associated with conflict checks, allowing firms to respond to client inquiries faster.",Corporate legal,Advanced,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.myemmi.ai/,
Eskwai,"Eskwai is a legal AI platform designed to enhance legal research and streamline case analysis for lawyers and firms. It offers intelligent tools for drafting, reviewing, and verifying legal documents.",Eskwai,"Eskwai provides AI-powered features that redefine the legal research experience, allowing users to efficiently analyze case law and legislation. It offers tools like Smart Search and Ask Kwame for instant legal answers.",Legal Research & Knowledge,,Enhances legal research efficiency and accuracy for legal professionals.,Legal professionals,Advanced,,Yes,Legal AI,,Subscription (SaaS),Yes,,,Cloud (SaaS),,,,,,,,$10K–$50K,,,https://eskwai.kwame.ai/,
EsquireTek,"EsquireTek specializes in AI-driven solutions for the legal industry, focusing on automating the discovery process.",EsquireTek Omega,"EsquireTek Omega is an AI-powered solution that fully automates the written discovery process, delivering expert-reviewed outputs in 25 days or less. It combines advanced legal AI with human oversight to ensure accuracy and efficiency.","Litigation, Disputes & Investigations",,Eliminates inefficiencies and bottlenecks in the discovery process.,Personal injury law firms,Quick Win,,Yes,AI-driven discovery automation,,Usage-Based / Consumption,Yes,,,Cloud (SaaS),,,,,,,HIPAA,,,,https://www.esquiretek.com,
Eudia,"Eudia transforms legal from a cost center to a value driver with its AI-augmented intelligence platform, trusted by Fortune 500 companies.",Eudia's AI-augmented intelligence platform,"Eudia combines AI with human expertise to achieve critical strategic outcomes for legal departments. The platform enhances contracting, M&A, compliance, and insights, driving measurable business outcomes.",Contracting & Document Automation,,"Eudia addresses inefficiencies in legal processes, such as lengthy contract reviews and compliance checks, by leveraging AI to streamline these tasks.",Corporate legal,Enterprise-grade,,Yes,,,Custom Pricing,,,,Cloud (SaaS),,,,,,,,,,,https://www.eudia.com,
Eve,"Eve works with you for the full case lifecycle, taking care of the tasks that slow you down so you can operate at your highest potential.",Eve,"Eve is the first legal AI that you can partner with, train, and teach to handle every part of your case. It helps in drafting documents, generating discovery requests, and managing case evaluations efficiently.","Litigation, Disputes & Investigations",,"Eve automates tedious casework, allowing legal professionals to focus on building case strategies and client relationships.",Corporate legal,Advanced,,Yes,,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.eve.legal/,
EvenUp,"EvenUp is a proactive AI platform designed specifically for personal injury firms, leveraging a vast dataset to enhance case management and settlement processes.",Claims Intelligence Platform™,"The Claims Intelligence Platform™ by EvenUp unlocks insights for every stage of the case lifecycle, from intake to resolution. It utilizes AI to automate document preparation, monitor treatment progress, and enhance negotiation strategies, ultimately maximizing case value.","Litigation, Disputes & Investigations",,Streamlining case management and enhancing settlement outcomes for personal injury firms.,Personal Injury Firms,Advanced,USA,Yes,Claims Intelligence,,,,,,Cloud (SaaS),,,,,,,SOC2,,,,https://www.evenuplaw.com/,
Evisort,Evisort empowers enterprises and growing companies alike to transform their businesses with AI-powered Contract Lifecycle Management and Analysis software.,Evisort,"Evisort delivers a complete, AI-native platform for end-to-end contract lifecycle management, including the first large language model built specifically for contracts. It combines document generation capabilities, workflows, and AI in a user-friendly interface.",Contracting & Document Automation,,"Evisort helps organizations manage contracts efficiently, surface risks, track obligations, and identify revenue opportunities.",Corporate legal,Advanced,,Yes,Large Language Model,,Custom Pricing,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.evisort.com,
Fern AI,Fern AI provides artificial intelligence (AI) solutions for professionals in employment law. The company offers both software and consulting services to help legal teams optimize their operations.,Fern Research CoPilot,"Fern Research CoPilot delivers authoritative answers to employment law questions quickly, tailored to specific jurisdictions and priorities. It simplifies the AI search experience by allowing users to ask questions in natural language.",Legal Research & Knowledge,,Automates legal research and contract analysis to help legal teams navigate employment law complexities.,Corporate legal,Advanced,,Yes,,,,,,,Cloud (SaaS),,,,,,,,,,,https://www.fernlabs.ai/,
Filevine,Filevine empowers law firms with AI-powered legal practice management solutions.,Filevine,"Filevine offers a comprehensive case management software that integrates document management, time tracking, and lead management. It features an AI Legal Assistant that allows users to chat directly with their case data.","Matter, Workflow & Intake Management",,Reduces redundant tasks for efficient practice management and enhances communication with clients and colleagues.,Corporate legal,Advanced,,Yes,AI Legal Assistant,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.filevine.com/,
Finch,"Finch is the world’s first AI-powered pre-litigation team, designed to streamline the personal injury claims process.",Finch,"Finch automates the pre-litigation process for personal injury firms, allowing them to handle cases from intake through demand efficiently. The platform utilizes AI tools and expert paralegals to enhance case management and client interaction.","Litigation, Disputes & Investigations",,Reduces administrative workload and speeds up the pre-litigation process for personal injury firms.,Corporate legal,Advanced,,Yes,,,Custom Pricing,,,,Cloud (SaaS),,"English, Spanish",,,,,SOC 2,,,,https://www.finchlegal.com/,
Fireflies.ai,"Fireflies.ai is a leading AI notetaker that automates the process of taking notes, transcribing, summarizing, and analyzing team conversations across various video conferencing platforms.",Fireflies.ai,"Fireflies.ai provides high-quality meeting transcription and recording, enabling users to capture detailed notes, action items, and customized summaries instantly after every meeting. It supports multiple languages and offers features like speaker recognition and AI-powered search.","Compliance, Risk & Governance",,"Automates note-taking and transcription for meetings, enhancing productivity and organization.",Corporate legal,Enterprise-grade,,Yes,,,,Yes,,,Cloud (SaaS),,100+ Languages,,,,,"SOC 2, GDPR",,,,https://fireflies.ai/,
FirmPilot,FirmPilot is a data-driven marketing platform designed to help law firms attract better clients through hyper-personalized AI solutions.,FirmPilot,FirmPilot utilizes proprietary AI technology to enhance law firm marketing by creating tailored legal content and optimizing digital presence. The platform focuses on improving SEO and managing ads to increase lead volume for law firms.,Legal Operations & Analytics,,Helps law firms attract more qualified clients and improve their online visibility.,Corporate legal,Advanced,,Yes,"Legal database with cases, legislation, legal news",,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://www.firmpilot.com,
FirmProfit,"FirmProfit transforms law firm operations with AI-powered workflows, aiming to cut costs and boost profitability.",FirmProfit,"FirmProfit automates legal workflows, particularly court notice filings, saving time and reducing errors. It provides real-time insights and enhances visibility across all cases.","Matter, Workflow & Intake Management",,Reduces manual tasks and mitigates risks associated with missed deadlines and compliance issues.,Corporate legal,Quick Win,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,,,,,https://firmprofit.ai/,
FirstRead,FirstRead is an AI legal associate designed to manage all legal tasks efficiently.,FirstRead,FirstRead is an AI associate that helps scale legal practices by managing tasks from start to finish. It aims to enhance productivity and streamline legal processes.,AI Legal Assistants & Productivity Tools,,,Corporate legal,,,Yes,,,,,,,,,,,,,,,,,,https://first-read.com/,
Flank,"Flank autonomously executes enterprise legal workflows, resolving legal requests within existing tools.",Flank,"Flank is an autonomous enterprise legal system that handles tasks such as drafting, reviewing, and negotiating contracts. It integrates seamlessly into existing workflows, allowing legal teams to manage requests efficiently without adding headcount.",Contracting & Document Automation,,Clearing legal backlogs and managing routine legal processes autonomously.,Corporate legal,Enterprise-grade,,Yes,,,,Yes,,,Cloud (SaaS),,,,,,,"SOC2, GDPR",,,,https://www.flank.ai/,
